Rank,ShirtNumber,Name,Team,Spikes,Faults,Shots,Total attempts,Success %
180,15,Jakub Kochanowski,POL,56,15,38,109,0
181,16,Bartlomiej Boladz,POL,20,8,15,43,0
182,18,Bartosz Kwolek,POL,108,44,93,245,0
183,19,Marcin Janusz,POL,2,1,0,3,0
184,20,Mateusz Bieniek,POL,55,5,29,89,0
185,21,Tomasz Fornal,POL,27,13,34,74,0
186,22,Bartosz Bednorz,POL,117,39,95,251,0
187,25,Michał Szalacha,POL,3,1,0,4,0
188,27,Piotr Łukasik,POL,40,12,24,76,0
189,28,Bartosz Filipiak,POL,8,3,9,20,0
190,77,Karol Klos,POL,67,10,28,105,0
191,99,Norbert Huber,POL,58,12,29,99,0
192,1,Valdir Sequeira,POR,14,8,7,29,0
193,3,Nuno Teixeira,POR,10,3,14,27,0
194,4,Filip Cveticanin,POR,69,16,37,122,0
195,8,Tiago Da Silva Violas,POR,4,0,5,9,0
196,9,Joao Simoes,POR,28,13,36,77,0
197,10,Phelipe Martins,POR,29,13,33,75,0
198,11,Bruno Cunha,POR,47,23,38,108,0
199,12,Lourenco Martins,POR,70,23,64,157,0
200,13,Caique Oswaldo Ferreira Da Silva,POR,53,19,36,108,0
201,15,Miguel Tavares Rodrigues,POR,12,1,7,20,0
202,2,Ilia Vlasov,RUS,6,3,4,13,0
203,3,Dmitry Kovalev,RUS,6,3,5,14,0
204,4,Denis Zemchenok,RUS,71,18,58,147,0
205,7,Dmitry Volkov,RUS,91,38,69,198,0
206,8,Anton Semyshev,RUS,17,8,10,35,0
207,9,Ivan Iakovlev,RUS,70,9,23,102,0
208,10,Fedor Voronkov,RUS,64,31,43,138,0
209,11,Igor Philippov,RUS,44,7,19,70,0
210,14,Yaroslav Podlesnykh,RUS,69,31,34,134,0
211,18,Egor Kliuka,RUS,111,41,82,234,0
212,20,Ilyas Kurkaev,RUS,107,22,44,173,0
213,24,Igor Kobzar,RUS,28,4,15,47,0
